%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1473672902315934398,0.0,0.0,0.0,0.0,0.0,0.0
1473672902332664737,0.0,0.0,0.0,0.0,0.0,0.0
1473672902349264188,0.0,0.0,0.0,0.0,0.0,0.0
1473672902365931051,0.0,0.0,0.0,0.0,0.0,0.0
1473672902382576693,0.0,0.0,0.0,0.0,0.0,0.0
1473672902399250419,0.0,0.0,0.0,0.0,0.0,0.0
1473672902415889296,0.0,0.0,0.0,0.0,0.0,0.0
1473672902432590708,0.0,0.0,0.0,0.0,0.0,0.0
1473672902449239282,0.0,0.0,0.0,0.0,0.0,0.0
1473672902465913705,0.0,0.0,0.0,0.0,0.0,0.0
1473672902482598736,0.0,0.0,0.0,0.0,0.0,0.0
1473672902499218920,0.0,0.0,0.0,0.0,0.0,0.0
1473672902515952774,0.0,0.0,0.0,0.0,0.0,0.0
1473672902532526619,0.0,0.0,0.0,0.0,0.0,0.0
1473672902549239594,0.0,0.0,0.0,0.0,0.0,0.0
1473672902565912946,0.0,0.0,0.0,0.0,0.0,0.0
1473672902582566382,0.0,0.0,0.0,0.0,0.0,0.0
1473672902599245851,0.0,0.0,0.0,0.0,0.0,0.0
1473672902615895285,0.0,0.0,0.0,0.0,0.0,0.0
1473672902632595323,0.0,0.0,0.0,0.0,0.0,0.0
1473672902649261243,0.0,0.0,0.0,0.0,0.0,0.0
1473672902665955001,0.0,0.0,0.0,0.0,0.0,0.0
1473672902682591446,0.0,0.0,0.0,0.0,0.0,0.0
1473672902699271735,0.0,0.0,0.0,0.0,0.0,0.0
1473672902715922143,0.0,0.0,0.0,0.0,0.0,0.0
1473672902732552658,0.0,0.0,0.0,0.0,0.0,0.0
1473672902749260654,0.0,0.0,0.0,0.0,0.0,0.0
1473672902765882789,0.0,0.0,0.0,0.0,0.0,0.0
1473672902782549178,0.0,0.0,0.0,0.0,0.0,0.0
1473672902799216423,0.0,0.0,0.0,0.0,0.0,0.0
1473672902815918413,0.0,0.0,0.0,0.0,0.0,0.0
1473672902832611245,0.0,0.0,0.0,0.0,0.0,0.0
1473672902849266745,0.0,0.0,0.0,0.0,0.0,0.0
1473672902865923682,0.0,0.0,0.0,0.0,0.0,0.0
